Work center1,Order,Material,Sales Order,Order Type,Description,MRP controller,Target quantity,Confirm.yield1,Balance1,Stor. Location,Bas. start date,Basic fin. date,System Status
BW01-IHL,1970726,8090837400,,ZP01,MASTER CTN LABEL MLNX RED PV1A0558,M47,579.000,0.000,579.000,WA00,01/21/2022,01/24/2022,REL  PRC  BCRQ MANC SETC
BW01-IHL,1970728,8090837400,,ZP01,MASTER CTN LABEL MLNX RED PV1A0558,M47,130.000,0.000,130.000,WA00,01/21/2022,01/24/2022,REL  PRC  BCRQ MANC SETC
BW01-IHL,1970722,8090838100,,ZP01,MASTER CTN LABEL MLNX WHITE PV1A0158,M47,470.000,0.000,470.000,WA00,01/21/2022,01/24/2022,REL  PRC  BCRQ MACM SETC
BW01-IHL,1970723,8090838100,,ZP01,MASTER CTN LABEL MLNX WHITE PV1A0158,M47,"1,121.000",0.000,"1,121.000",WA00,01/21/2022,01/24/2022,REL  PRC  BCRQ MANC SETC
BW01-IHL,1970724,8090838100,,ZP01,MASTER CTN LABEL MLNX WHITE PV1A0158,M47,479.000,0.000,479.000,WA00,01/21/2022,01/24/2022,REL  PRC  BCRQ MANC SETC
BW01-IHL,1970638,8090882600,,ZP01,LABEL MASTER CTN ME EDG305.WR,M47,830.000,830.000,0.000,WA00,01/21/2022,01/21/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
BW01-UW,1961532,9110105901,,ZP01,ASS'Y WATER TANK L125 FOR SP,M43,"2,000.000",0.000,"2,000.000",WF99,01/21/2022,01/24/2022,REL  PRC  BCRQ MACM SETC
BW03-SA,1962241,9110245401,,ZP01,ASS'Y FLOWMETER,M43,"5,000.000","5,000.000",0.000,WF99,01/21/2022,01/24/2022,REL  CNF  DLV  PRC  CSER BCRQ GMPS MACM*
BW03-SA,1957479,9110264300,,ZP01,ASS'Y DRIP TRAY EDG305.BG,M50,"3,450.000","3,450.000",0.000,WF99,01/21/2022,01/24/2022,REL  MSPT CNF  DLV  PRC  BCRQ GMPS SETC
BW03-SA,1968157,9110375600,,ZP01,ASSY DRIP TRAY SHIGA,M50,"2,000.000","2,000.000",0.000,WF99,01/21/2022,01/24/2022,REL  MSPT CNF  DLV  PRC  BCRQ GMPS SETC
BW01-UW,1956076,9110375700,,ZP01,ASSY COFFEE BOX SHIGA,M43,540.000,540.000,0.000,WF99,01/21/2022,01/24/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
BW01-UW,1956115,9110375900,,ZP01,ASSY WATER TANK Shiga 0.8L,M43,740.000,740.000,0.000,WF99,01/21/2022,01/24/2022,REL  MSPT CNF  DLV  PRC  BCRQ GMPS SETC
BW03-SA,1956834,9110377800,,ZP01,BACK PRESSURE VALVE ASSY SHIGA,M43,"1,080.000","1,080.000",0.000,WF99,01/21/2022,01/24/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
BW05-STB,1963475,9110481900,,ZP01,9770 ASS'Y THERMOBLOCK 230V 1400W,M47,"6,660.000","6,660.000",0.000,WA00,01/21/2022,01/21/2022,REL  MSPT CNF  DLV  PRC  BCRQ GMPS SETC
BW05-STB,1969640,9110486800,,ZP01,ASS'Y THERMOBLOCK 230V,M47,"4,406.000","4,406.000",0.000,WA00,01/21/2022,01/21/2022,REL  MSPT CNF  DLV  PRC  CSER BCRQ GMPS*
BW05-SAH,1969588,9110487100,,ZP01,ASS'Y HEAD 9781 BATAM,M47,"4,406.000","4,406.000",0.000,WA00,01/21/2022,01/21/2022,REL  MSPT CNF  DLV  PRC  BCRQ GMPS SETC
BW03-SA,1956467,9110487500,,ZP01,ASS'Y WATER TANK ARIEL,M43,"2,800.000","2,800.000",0.000,WF99,01/21/2022,01/24/2022,REL  CNF  DLV  PRC  CSER BCRQ GMPS MACM*
BW05-SAH,1969449,9110574700,,ZP01,9770 ASS'Y HEAD W VLV TILT BLK CEN WEU,M47,"2,760.000","2,760.000",0.000,WA00,01/21/2022,01/21/2022,REL  CNF  DLV  PRC  CSER BCRQ GMPS MACM*
BW04-PLP,1970501,9110592900,,ZP01,PULP TRAY TOP & BOTTOM SET JOY,M47,"5,040.000",0.000,"5,040.000",WG99,01/21/2022,01/24/2022,REL  MSPT CNF  DLV  PRC  BCRQ GMPS SETC
BW04-PLP,1970433,9110600000,,ZP01,PULP TRAY TOP*BOTTOM  9770 LIGHT SET PRO,M47,"5,600.000",0.000,"5,600.000",WG99,01/21/2022,01/24/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
BW03-TP,1954862,9170447501,,ZP01,FRAME BLACK PRINTED SILVER KRUPS NEW LOG,M50,"2,400.000","2,394.000",6.000,WD99,01/21/2022,01/24/2022,REL  PCNF PRC  CSER BCRQ GMPS MACM PDLV*
BW03-TP,1955569,9170447700,,ZP01,VALVE TILT PART RAL9005 PRINTED,M43,"6,000.000","6,000.000",0.000,WD99,01/21/2022,01/24/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
BW03-TP,1955629,9170448501,,ZP01,HMI COVER FRONT BLK PAINTED WIK419 NEW L,M43,"3,000.000","3,000.000",0.000,WF99,01/21/2022,01/24/2022,REL  MSPT CNF  DLV  PRC  BCRQ GMPS SETC
BW01-SP1,1960949,9310670600,1500059964,ZP01,ASS'Y HMI EDG305.WB FOR 9770 SPARE PART,M47,54.000,54.000,0.000,WI99,01/21/2022,01/27/2022,REL  MSPT CNF  DLV  PRC  BCRQ GMPS SETC
BW04-DC4,1955242,9310872600,1300083742,ZP01,9781 SP ASSY THERMOBLOCK 230V FOR MKD,M50,"5,760.000",0.000,"5,760.000",WI99,01/21/2022,01/25/2022,REL  MSPT PRC  BCRQ SETC
